"Kinerja Produksi PT. BATI, Spinning 4 : Tahun 2024",,,
,,,
No.,Keterangan,Juni 2024,Juli 2024
1,Jumlah Hari Kerja,29,31
2,Jumlah SDM Total,299,299
3,Jumlah SDM Produksi Shift,217,207
4,Produksi Total Per Bulan ( Bale ),"1,150.89",1287.4
5,Produksi Rerata Per Hari ( Bale ),39.69,41.53
6,Average Count ( RSF ),31,32.53
7,Man Per Bale ( SDM Total ),7.53,7.2
8,Man Per Bale ( SDM Produksi Shift ),5.47,4.98
9,Total KWH Pemakaian Listrik,"829,729.99","934,531.76"
10,KWH Listrik Per Bale,720.95,725.91
11,KWH Listrik Per Kg,3.97,4
12,Biaya Upah SDM Total / Bale ( Rupiah ),"532,328.02","475,882.40"
13,Biaya Upah SDM Produksi Shift ( Rupiah),386338.4,329457.05
14,Biaya Upah SDM Total / Kg ( Rupiah ),2933.91,2622.81
15,Prosentase Waste Total,11.94,11.94
16,Effisiensi Akumulasi,89.12,92.07
